id,date,time,continent_code,country_name,country_code,state/province,population,city/town,distance,location_description,latitude,longitude,geolocation,hazard_type,landslide_type,landslide_size,trigger,storm_name,injuries,fatalities,source_name,source_link
376,11/30/2007,,NA,United States,US,California,3117,Rancho Santa Fe,6.48824,,33.0409,-117.1378,"(33.040900000000001, -117.1378)",Landslide,Debris flow,Small,Rain,,,,Signon San Diego.com,http://www.signonsandiego.com/news/metro/20071130-1627-bn30rain6.html
414,1/6/2008,,NA,United States,US,California,42808,La Jolla,8.13382,,32.8008,-117.207,"(32.800800000000002, -117.20699999999999)",Landslide,Landslide,Small,Rain,,,,,http://weblog.signonsandiego.com/news/breaking/2008/01/rain_causes_a_landslide_in_san.html
418,1/7/2008,,NA,United States,US,California,59518,Encinitas,3.23702,,33.0643,-117.3042,"(33.064300000000003, -117.30419999999999)",Landslide,Landslide,Medium,Rain,,,,,http://www.signonsandiego.com/news/metro/20080108-9999-1m8weather.html
436,1/28/2008,19:30:00,NA,United States,US,California,42808,La Jolla,1.15586,,32.8464,-117.2619,"(32.846400000000003, -117.2619)",Landslide,Landslide,Medium,Rain,,,,,http://www.nbcsandiego.com/mostpopular/15160664/detail.html
693,8/7/2008,,NA,United States,US,California,20292,Ramona,3.32897,,33.047,-116.833,"(33.046999999999997, -116.833)",Landslide,Complex,Small,Downpour,,,,,http://www.signonsandiego.com/news/metro/20080808-9999-1m8weather.html
908,11/26/2008,,NA,United States,US,California,9277,Valley Center,14.4377,,33.3,-116.9135,"(33.299999999999997, -116.9135)",Landslide,Debris flow,Medium,Rain,,,,,http://www.sandiego6.com/news/local/story/People-and-Pets-Trapped-in-Car-by-Debris-Flow/-hzY7l0XwECXzE2pbJhIOw.cspx
937,12/17/2008,,NA,United States,US,California,3148,Fairbanks Ranch,8.33509,,33.023,-117.105,"(33.023000000000003, -117.105)",Landslide,Mudslide,Small,Rain,,,,,http://www.nbcsandiego.com/news/local/Mudslide-Damages-RB-Homes.html
946,12/22/2008,,NA,United States,US,California,3841,Harbison Canyon,1.91206,,32.8273,-116.8487,"(32.827300000000001, -116.84869999999999)",Landslide,Complex,Small,Downpour,,,,,http://www.10news.com/news/18285582/detail.html
1358,12/13/2009,,NA,United States,US,California,4862,Running Springs,8.91845,,34.2425,-117.0219,"(34.2425, -117.0219)",Landslide,Complex,Small,Downpour,,,0,,http://www.rimoftheworld.net/4512
1431,1/21/2010,Morning,NA,United States,US,California,9277,Valley Center,5.7125,,33.1677,-117.0232,"(33.167700000000004, -117.0232)",Landslide,Mudslide,Small,Downpour,,,0,,http://www.nbcsandiego.com/news/local-beat/Bracing-for-the-Next-Round-82249267.html
1435,1/21/2010,,NA,United States,US,California,3552,Morongo Valley,1.35292,,34.0373,-116.5898,"(34.037300000000002, -116.5898)",Landslide,Debris flow,Small,Downpour,,,0,,http://www.kesq.com/Global/story.asp?S=11858325
1439,1/21/2010,17:36:00,NA,United States,US,California,1128,Aguanga,12.95887,,33.4685,-117.001,"(33.468499999999999, -117.001)",Landslide,Mudslide,Small,Downpour,,,0,,http://www.swrnn.com/southwest-riverside/2010-01-22/news/last-in-a-series-of-storms-leaves-its-mark-on-southwest-rivco
1525,2/25/2010,6:45:00,NA,United States,US,California,29603,Banning,2.18534,,33.9062,-116.8721,"(33.906199999999998, -116.8721)",Landslide,Complex,Small,Rain,,,0,,http://www.kesq.com/Global/story.asp?S=12044433
1531,2/27/2010,,NA,United States,US,California,209924,San Bernardino,1.18379,,34.1102,-117.3024,"(34.110199999999999, -117.30240000000001)",Landslide,Mudslide,Small,Downpour,,,0,,http://www.pe.com/localnews/inland/stories/PE_News_Local_N_calstorm28.48ad910.html
2333,8/25/2010,14:10:00,NA,United States,US,California,51367,Yucaipa,11.06641,,34.0935,-116.9472,"(34.093499999999999, -116.9472)",Landslide,Mudslide,Small,Downpour,,,0,,
2642,10/19/2010,,NA,United States,US,California,7715,Thousand Palms,7.04978,,33.8575,-116.4518,"(33.857500000000002, -116.45180000000001)",Landslide,Mudslide,Small,Downpour,,,0,,http://www.mydesert.com/article/20101021/NEWS01/10210312/Up-to-18-inches-of-mud-cleared-from-Varner
2868,12/19/2010,,NA,United States,US,California,4862,Running Springs,7.63522,,34.231,-117.0312,"(34.231000000000002, -117.0312)",Landslide,Mudslide,Medium,Downpour,,,0,,http://www.pe.com/localnews/stories/PE_News_Local_D_weather20.3b67927.html
2874,12/21/2010,,NA,United States,US,California,59518,Encinitas,4.45005,,33.0744,-117.3092,"(33.074399999999997, -117.3092)",Landslide,Rockfall,Small,Downpour,,,0,,http://www.signonsandiego.com/news/2010/dec/29/soggy-ground-gives-way-more-slides-possible/
2876,12/21/2010,14:10:00,NA,United States,US,California,10644,Muscoy,4.5152,,34.1608,-117.2959,"(34.160800000000002, -117.2959)",Landslide,Mudslide,Small,Downpour,,,0,,http://www.silobreaker.com/mud-slide-reported-near-san-bernardino-restaurant-5_2263951033153617951
2880,12/22/2010,,NA,United States,US,California,59518,Encinitas,3.31222,,33.0648,-117.3049,"(33.064799999999998, -117.3049)",Landslide,Landslide,Small,Downpour,,,0,,http://www.signonsandiego.com/news/2010/dec/29/soggy-ground-gives-way-more-slides-possible/
2881,12/22/2010,,NA,United States,US,California,53104,Highland,1.85916,,34.1358,-117.1906,"(34.135800000000003, -117.1906)",Landslide,Complex,Small,Downpour,,,0,,http://abclocal.go.com/kabc/story?section=weather&id=7858797
2884,12/22/2010,9:00:00,NA,United States,US,California,44199,San Jacinto,2.92944,,33.8071,-116.9435,"(33.807099999999998, -116.9435)",Landslide,Landslide,Small,Downpour,,,0,,http://blogs.pe.com/news/digest/2010/12/san-jacinto-vehicles-get-stuck.html
2885,12/22/2010,,NA,United States,US,California,4862,Running Springs,6.40077,,34.1813,-117.1709,"(34.1813, -117.1709)",Landslide,Landslide,Small,Downpour,,,0,,http://rimoftheworld.net/6244
2887,12/22/2010,Morning,NA,United States,US,California,53104,Highland,1.95744,,34.1407,-117.1935,"(34.140700000000002, -117.1935)",Landslide,Mudslide,Medium,Downpour,,,0,,http://abcnews.go.com/US/wet-west-aftermath-southern-california-communities-surrounded-mud/story?id=12464170
2890,12/22/2010,,NA,United States,US,California,4862,Running Springs,3.35384,,34.2174,-117.0747,"(34.217399999999998, -117.07470000000001)",Landslide,Rockfall,Small,Downpour,,,0,,http://abcnews.go.com/US/wet-west-aftermath-southern-california-communities-surrounded-mud/story?id=12464170
2893,12/22/2010,2:30:00,NA,United States,US,California,105328,Carlsbad,5.86771,,33.1466,-117.2892,"(33.146599999999999, -117.28919999999999)",Landslide,Mudslide,Small,Downpour,,,0,,http://carlsbad.patch.com/articles/storm-brings-mudslide-flooding-to-carlsbad
2895,12/22/2010,Early morning,NA,United States,US,California,23261,Loma Linda,3.23578,,34.0775,-117.2599,"(34.077500000000001, -117.2599)",Landslide,Mudslide,Small,Downpour,,,0,,http://www.sbsun.com/ci_16916034
2896,12/22/2010,3:00:00,NA,United States,US,California,42808,La Jolla,2.01316,,32.8471,-117.2527,"(32.847099999999998, -117.2527)",Landslide,Mudslide,Small,Downpour,,,0,,http://www.examiner.com/conservative-in-san-diego/heavy-rains-wind-mudslide-hit-la-jolla-california
2897,12/22/2010,7:30:00,NA,United States,US,California,42808,La Jolla,2.24058,,32.8296,-117.2626,"(32.829599999999999, -117.26260000000001)",Landslide,Mudslide,Small,Downpour,,,0,,http://lajollalight.com/2010/12/22/mudslide-takes-out-muirlands-realtors-driveway/
2898,12/22/2010,Morning,NA,United States,US,California,23261,Loma Linda,0.87634,,34.0424,-117.2674,"(34.042400000000001, -117.26739999999999)",Landslide,Mudslide,Medium,Downpour,,,0,,http://ireport.cnn.com/docs/DOC-532057
2907,12/28/2010,9:30:00,NA,United States,US,California,57065,La Mesa,6.02579,,32.7708,-117.0873,"(32.770800000000001, -117.0873)",Landslide,Mudslide,Small,Downpour,,,0,,http://www.760kfmb.com/Global/story.asp?S=13751796
2910,12/28/2010,14:00:00,NA,United States,US,California,193365,Moreno Valley,9.07891,,33.9385,-117.1324,"(33.938499999999998, -117.1324)",Landslide,Landslide,Small,Downpour,,,0,,http://blogs.pe.com/news/digest/2010/12/badlands-landslide-blocking-pa.html
3135,2/18/2011,,NA,United States,US,California,1423,Descanso,9.82301,,32.9112,-116.5369,"(32.911200000000001, -116.5369)",Landslide,Complex,Medium,Downpour,,,0,,http://eastcountymagazine.org/node/5520
3303,3/26/2011,Morning,NA,United States,US,California,9277,Valley Center,5.13929,,33.1817,-117.0005,"(33.181699999999999, -117.0005)",Landslide,Landslide,Medium,Downpour,,,0,,http://www.signonsandiego.com/news/2011/mar/26/landslide-closes-part-lake-wohlford-road/
4491,8/17/2012,,NA,United States,US,California,51367,Yucaipa,12.93443,,34.0884,-116.9194,"(34.0884, -116.9194)",Landslide,Mudslide,Medium,Downpour,,,,,http://latimesblogs.latimes.com/lanow/2012/08/flash-flood-debris-flow-forest-falls.html
5156,7/22/2013,Late morning,NA,United States,US,California,3583,Idyllwild,7.79933,,33.7165,-116.6396,"(33.716500000000003, -116.6396)",Landslide,Mudslide,Medium,Downpour,,,0,www.sbsun.com,http://www.sbsun.com/breakingnews/ci_23706105/mountain-fire-personnel-reduced-but-mudslide-concerns-remain
5400,8/25/2013,18:00:00,NA,United States,US,California,3552,Morongo Valley,1.82682,,34.0588,-116.5671,"(34.058799999999998, -116.5671)",Landslide,Mudslide,Medium,Tropical cyclone,Ivo,,0,redlands.patch.com,http://redlands.patch.com/groups/breaking-news/p/remnants-of-ivo-storm-cells-unleash-mud-flow-in-morongo-valley-highway-62-closed
5419,8/30/2013,Afternoon,NA,United States,US,California,29603,Banning,9.26566,,33.8426,-116.8648,"(33.842599999999997, -116.8648)",Landslide,Debris flow,Medium,Downpour,,,0,banning-beaumont.patch.com,http://banning-beaumont.patch.com/groups/police-and-fire/p/black-flood-man-describes-front-end-of-postfire-debris-flow-in-poppet-flats
5474,9/6/2013,,NA,United States,US,California,1502,Julian,10.67044,,33.1697,-116.565,"(33.169699999999999, -116.565)",Landslide,Mudslide,Medium,Downpour,,,0,www.nbcsandiego.com,http://www.nbcsandiego.com/news/local/Mudslide-Prompts-Road--222738621.html
5697,12/19/2013,16:15:00,NA,United States,US,California,20292,Ramona,3.30093,,33.0375,-116.8331,"(33.037500000000001, -116.8331)",Landslide,Mudslide,Small,Rain,,,0,ramona.patch.com,http://ramona.patch.com/groups/traffic/p/accidents-on-67-and-78-in-morning-commute
6166,7/20/2014,,NA,United States,US,California,3429,Borrego Springs,20.08692,Unknown,33.3124,-116.5799,"(33.312399999999997, -116.57989999999999)",Landslide,Mudslide,Small,Downpour,,0,0,The Record Courier,http://www.recordcourier.com/news/12299407-113/mud-olson-amount-county
6201,8/3/2014,15:30,NA,United States,US,California,6362,Cherry Valley,8.96214,Above road,34.0548,-116.9765,"(34.0548, -116.9765)",Landslide,Mudslide,Large,Continuous rain,,0,0,The Spokesman-Review,http://www.spokesman.com/stories/2014/aug/04/in-brief-mudslides-flash-floods-strand-hundreds/
6319,9/7/2014,,NA,United States,US,California,14578,Valle Vista,7.42146,Burned area,33.7354,-116.8146,"(33.735399999999998, -116.8146)",Landslide,Debris flow,Small,Rain,,0,0,Press Enterprise,http://www.pe.com/articles/highway-750151-area-rain.html
6390,11/21/2014,3:23,NA,United States,US,California,44199,San Jacinto,4.90583,Above road,33.8256,-116.9762,"(33.825600000000001, -116.97620000000001)",Landslide,Landslide,Small,Rain,,0,0,Press Enterprise,http://www.pe.com/articles/road-754715-reported-closed.html
6421,12/4/2014,Unknown,NA,United States,US,California,143911,Escondido,5.53682,Burned area,33.0938,-117.1375,"(33.093800000000002, -117.1375)",Landslide,Debris flow,Small,Rain,,0,0,NBC 7,http://www.nbcsandiego.com/news/local/Harmony-Grove-Mudslide-Wilglen-Drive-San-Diego-Cocos-Fire-284775311.html
6422,12/4/2014,1:00,NA,United States,US,California,44199,San Jacinto,5.62939,Above road,33.8294,-116.9746,"(33.8294, -116.9746)",Landslide,Mudslide,Medium,Downpour,,0,0,LA Times,http://www.latimes.com/local/lanow/la-me-ln-flash-flood-inland-empire-20141204-story.html
6423,12/3/2014,,NA,United States,US,California,2593,Crest,2.75389,Above road,32.7862,-116.8526,"(32.786200000000001, -116.8526)",Landslide,Mudslide,Small,Rain,,0,0,Mashable,http://mashable.com/2014/12/04/mudslides-floods-california/
